order_id,product_id,add_to_cart_order,reordered
2539329,NA,NA,NA
2398795,NA,NA,NA
473747,NA,NA,NA
2254736,NA,NA,NA
431534,NA,NA,NA
3367565,NA,NA,NA
550135,NA,NA,NA
3108588,NA,NA,NA
2295261,NA,NA,NA
2550362,NA,NA,NA
1187899,196,1,1
1187899,25133,2,1
1187899,38928,3,1
1187899,26405,4,1
1187899,39657,5,1
1187899,10258,6,1
1187899,13032,7,1
1187899,26088,8,1
1187899,27845,9,0
1187899,49235,10,1
1187899,46149,11,1
2168274,NA,NA,NA
1501582,NA,NA,NA
1901567,NA,NA,NA
738281,NA,NA,NA
1673511,NA,NA,NA
1199898,NA,NA,NA
3194192,NA,NA,NA
788338,NA,NA,NA
1718559,NA,NA,NA
1447487,NA,NA,NA
1402090,NA,NA,NA
3186735,NA,NA,NA
3268552,NA,NA,NA
839880,NA,NA,NA
1492625,22963,1,1
1492625,7963,2,1
1492625,16589,3,1
1492625,32792,4,1
1492625,41787,5,1
1492625,22825,6,1
1492625,13640,7,0
1492625,24852,8,1
1492625,45066,9,1
1492625,9387,10,0
1492625,5450,11,1
1492625,24838,12,0
1492625,38547,13,0
1492625,19019,14,0
1492625,12007,15,0
1492625,26352,16,0
1492625,22559,17,1
1492625,45613,18,1
1492625,31883,19,0
1492625,12324,20,0
1492625,33957,21,1
1492625,5699,22,0
1492625,31612,23,0
1492625,34284,24,0
1492625,48523,25,0
1492625,2361,26,0
1492625,48821,27,0
1492625,11913,28,0
1492625,45645,29,0
1492625,1757,30,0
1492625,21329,31,0
1374495,NA,NA,NA
444309,NA,NA,NA
3002854,NA,NA,NA
2037211,NA,NA,NA
2710558,NA,NA,NA
1972919,NA,NA,NA
1839752,NA,NA,NA
3225766,NA,NA,NA
3160850,NA,NA,NA
676467,NA,NA,NA
521107,NA,NA,NA
1402502,NA,NA,NA
2774568,NA,NA,NA
3343014,NA,NA,NA
2030307,NA,NA,NA
691089,NA,NA,NA
94891,NA,NA,NA
2557754,NA,NA,NA
329954,NA,NA,NA
2717275,NA,NA,NA
1909121,NA,NA,NA
2267326,NA,NA,NA
157374,NA,NA,NA
2196797,15349,1,1
2196797,19057,2,0
2196797,16185,3,0
2196797,21413,4,1
2196797,20843,5,0
2196797,20114,6,0
2196797,48204,7,0
2196797,40706,8,1
2196797,21616,9,1
2086598,NA,NA,NA
298250,NA,NA,NA
998866,NA,NA,NA
1528013,NA,NA,NA
2565571,NA,NA,NA
2402008,NA,NA,NA
121053,NA,NA,NA
1695742,NA,NA,NA
3321109,NA,NA,NA
1682003,NA,NA,NA
1014379,NA,NA,NA
776265,NA,NA,NA
2507052,NA,NA,NA
1396119,NA,NA,NA
565870,NA,NA,NA
3239072,NA,NA,NA
1175028,NA,NA,NA
3060817,NA,NA,NA
3120740,NA,NA,NA
2425840,NA,NA,NA
23391,NA,NA,NA
2984707,NA,NA,NA
369015,NA,NA,NA
2452257,NA,NA,NA
525192,12053,1,0
525192,47272,2,1
525192,37999,3,1
525192,13198,4,1
525192,43967,5,1
525192,40852,6,1
525192,17638,7,1
525192,29894,8,1
525192,45066,9,1
600894,NA,NA,NA
2979257,NA,NA,NA
2570360,NA,NA,NA
880375,15937,1,1
880375,5539,2,0
880375,10960,3,0
880375,23165,4,1
880375,22247,5,0
880375,4853,6,0
880375,27104,7,0
880375,7058,8,0
880375,41259,9,0
880375,37803,10,0
880375,48230,11,0
880375,47766,12,0
880375,31717,13,0
880375,21903,14,1
880375,25659,15,0
880375,41540,16,1
880375,48121,17,0
880375,2846,18,0
280530,NA,NA,NA
2762092,NA,NA,NA
1830137,NA,NA,NA
1094988,27555,1,1
1094988,42347,2,1
1094988,27596,3,1
1094988,8834,4,1
1094988,26604,5,1
1094988,12075,6,1
1094988,8467,7,1
1094988,38988,8,1
1094988,30252,9,1
1094988,18926,10,1
1094988,24954,11,1
1094988,40571,12,1
1094988,1559,13,1
1094988,33754,14,1
1094988,29594,15,1
1094988,17600,16,1
1094988,42828,17,1
1094988,10132,18,1
1094988,20899,19,1
1094988,27973,20,1
1094988,41844,21,1
1094988,30967,22,1
1224907,NA,NA,NA
68288,NA,NA,NA
2115522,NA,NA,NA
83395,NA,NA,NA
1353310,NA,NA,NA
1822501,29650,1,0
1822501,48720,2,0
1822501,24654,3,0
1822501,10177,4,0
2411567,NA,NA,NA
1170872,NA,NA,NA
2840752,NA,NA,NA
1611810,NA,NA,NA
2921164,NA,NA,NA
790927,NA,NA,NA
1468214,NA,NA,NA
1376945,NA,NA,NA
1483446,NA,NA,NA
1247527,NA,NA,NA
1916106,NA,NA,NA
1057378,NA,NA,NA
221248,NA,NA,NA
1356845,NA,NA,NA
2618231,NA,NA,NA
